Date	Massa|22_Q simulé	Massa_Debit cleaned 1982-2025-09	Massa|69_i	Massa|69_T	Massa|69_RG	Massa|70_h	Massa|71_h	Massa|71_A	Massa|72_h	Massa|73_Q	Massa|73_QNeige	Massa|73_QGlace	Massa|73_H	Massa|73_A	DayOfYearSinus	HourOfDaySinus
2022-03-14T00:00:00.0000000	NaN	0.426	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0
2022-03-14T01:00:00.0000000	NaN	0.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.017037086
2022-03-14T02:00:00.0000000	NaN	0.42299998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.0669873
2022-03-14T03:00:00.0000000	NaN	0.423	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.14644662
2022-03-14T04:00:00.0000000	NaN	0.417	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.25
2022-03-14T05:00:00.0000000	NaN	0.417	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.37059048
2022-03-14T06:00:00.0000000	NaN	0.417	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.5
2022-03-14T07:00:00.0000000	NaN	0.417	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.62940955
2022-03-14T08:00:00.0000000	NaN	0.411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.75
2022-03-14T09:00:00.0000000	NaN	0.41250002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.8535534
2022-03-14T10:00:00.0000000	NaN	0.41250002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.9330127
2022-03-14T11:00:00.0000000	NaN	0.41250002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.9829629
2022-03-14T12:00:00.0000000	NaN	0.4215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	1
2022-03-14T13:00:00.0000000	NaN	0.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.9829629
2022-03-14T14:00:00.0000000	NaN	0.42900002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.9330127
2022-03-14T15:00:00.0000000	NaN	0.4395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.8535534
2022-03-14T16:00:00.0000000	NaN	0.444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.75
2022-03-14T17:00:00.0000000	NaN	0.45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.62940955
2022-03-14T18:00:00.0000000	NaN	0.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.5
2022-03-14T19:00:00.0000000	NaN	0.4515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3454915	0.37059048
